zona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:35 PM [express] GET /api/imports/tse/queue/status 304 in 7ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
simulavoto  | 6:04:36 PM [express] GET /api/imports/tse 304 in 24ms :: [{"id":63,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"processing","stage":"processing","downloadedBytes":26127177,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":null,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-27T18:04:15.927Z","completedAt":null,"updatedAt":"2026-01-27T18:04:30.479Z","createdAt":"2026-01-27T18:01:34.908Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":62,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"completed","stage":"completed","downloadedBytes":26127177,"totalRows":533446,"processedRows":533446,"skippedRows":3665,"errorCount":0,"errorMessage":null,"electionYear":2018,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":537111,"validationStatus":"pending","validationMessage":"Importação concluída: 533.446 inseridos, 3.665 duplicados CSV + 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T18:00:27.668Z","completedAt":"2026-01-27T18:04:15.918Z","updatedAt":"2026-01-27T18:04:15.918Z","createdAt":"2026-01-27T18:00:27.658Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":61,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4393453,"status":"completed","stage":"completed","downloadedBytes":4393453,"totalRows":39966,"processedRows":39966,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":"Importação concluída: 39.966 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:52.378Z","completedAt":"2026-01-27T18:00:22.591Z","updatedAt":"2026-01-27T18:00:22.591Z","createdAt":"2026-01-27T17:59:52.368Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":60,"filename":"[DETALHE] detalhe_votacao_munzona_2014.zip","fileSize":3937094,"status":"completed","stage":"completed","downloadedBytes":3937094,"totalRows":40704,"processedRows":40704,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2014.zip","totalFileRows":40704,"validationStatus":"pending","validationMessage":"Importação concluída: 40.704 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:27.415Z","completedAt":"2026-01-27T17:59:42.590Z","updatedAt":"2026-01-27T17:59:42.590Z","createdAt":"2026-01-27T17:57:00.388Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":59,"filename":"[PARTIDO] votacao_partido_munzona_2014.zip","fileSize":12141261,"status":"completed","stage":"completed","downloadedBytes":12141261,"totalRows":547738,"processedRows":547738,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:37 PM [express] GET /api/imports/tse/queue/status 304 in 10ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
simulavoto  | 6:04:38 PM [express] GET /api/imports/tse 304 in 13ms :: [{"id":63,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"processing","stage":"processing","downloadedBytes":26127177,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":null,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-27T18:04:15.927Z","completedAt":null,"updatedAt":"2026-01-27T18:04:30.479Z","createdAt":"2026-01-27T18:01:34.908Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":62,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"completed","stage":"completed","downloadedBytes":26127177,"totalRows":533446,"processedRows":533446,"skippedRows":3665,"errorCount":0,"errorMessage":null,"electionYear":2018,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":537111,"validationStatus":"pending","validationMessage":"Importação concluída: 533.446 inseridos, 3.665 duplicados CSV + 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T18:00:27.668Z","completedAt":"2026-01-27T18:04:15.918Z","updatedAt":"2026-01-27T18:04:15.918Z","createdAt":"2026-01-27T18:00:27.658Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":61,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4393453,"status":"completed","stage":"completed","downloadedBytes":4393453,"totalRows":39966,"processedRows":39966,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":"Importação concluída: 39.966 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:52.378Z","completedAt":"2026-01-27T18:00:22.591Z","updatedAt":"2026-01-27T18:00:22.591Z","createdAt":"2026-01-27T17:59:52.368Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":60,"filename":"[DETALHE] detalhe_votacao_munzona_2014.zip","fileSize":3937094,"status":"completed","stage":"completed","downloadedBytes":3937094,"totalRows":40704,"processedRows":40704,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2014.zip","totalFileRows":40704,"validationStatus":"pending","validationMessage":"Importação concluída: 40.704 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:27.415Z","completedAt":"2026-01-27T17:59:42.590Z","updatedAt":"2026-01-27T17:59:42.590Z","createdAt":"2026-01-27T17:57:00.388Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":59,"filename":"[PARTIDO] votacao_partido_munzona_2014.zip","fileSize":12141261,"status":"completed","stage":"completed","downloadedBytes":12141261,"totalRows":547738,"processedRows":547738,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:39 PM [express] GET /api/imports/tse/queue/status 304 in 6ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
simulavoto  | 6:04:40 PM [express] GET /api/imports/tse 304 in 29ms :: [{"id":63,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"processing","stage":"processing","downloadedBytes":26127177,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":null,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-27T18:04:15.927Z","completedAt":null,"updatedAt":"2026-01-27T18:04:30.479Z","createdAt":"2026-01-27T18:01:34.908Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":62,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"completed","stage":"completed","downloadedBytes":26127177,"totalRows":533446,"processedRows":533446,"skippedRows":3665,"errorCount":0,"errorMessage":null,"electionYear":2018,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":537111,"validationStatus":"pending","validationMessage":"Importação concluída: 533.446 inseridos, 3.665 duplicados CSV + 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T18:00:27.668Z","completedAt":"2026-01-27T18:04:15.918Z","updatedAt":"2026-01-27T18:04:15.918Z","createdAt":"2026-01-27T18:00:27.658Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":61,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4393453,"status":"completed","stage":"completed","downloadedBytes":4393453,"totalRows":39966,"processedRows":39966,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":"Importação concluída: 39.966 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:52.378Z","completedAt":"2026-01-27T18:00:22.591Z","updatedAt":"2026-01-27T18:00:22.591Z","createdAt":"2026-01-27T17:59:52.368Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":60,"filename":"[DETALHE] detalhe_votacao_munzona_2014.zip","fileSize":3937094,"status":"completed","stage":"completed","downloadedBytes":3937094,"totalRows":40704,"processedRows":40704,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2014.zip","totalFileRows":40704,"validationStatus":"pending","validationMessage":"Importação concluída: 40.704 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:27.415Z","completedAt":"2026-01-27T17:59:42.590Z","updatedAt":"2026-01-27T17:59:42.590Z","createdAt":"2026-01-27T17:57:00.388Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":59,"filename":"[PARTIDO] votacao_partido_munzona_2014.zip","fileSize":12141261,"status":"completed","stage":"completed","downloadedBytes":12141261,"totalRows":547738,"processedRows":547738,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:41 PM [express] GET /api/imports/tse/queue/status 304 in 7ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
simulavoto  | 6:04:42 PM [express] GET /api/imports/tse 304 in 16ms :: [{"id":63,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"processing","stage":"processing","downloadedBytes":26127177,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":null,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-27T18:04:15.927Z","completedAt":null,"updatedAt":"2026-01-27T18:04:30.479Z","createdAt":"2026-01-27T18:01:34.908Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":62,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"completed","stage":"completed","downloadedBytes":26127177,"totalRows":533446,"processedRows":533446,"skippedRows":3665,"errorCount":0,"errorMessage":null,"electionYear":2018,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":537111,"validationStatus":"pending","validationMessage":"Importação concluída: 533.446 inseridos, 3.665 duplicados CSV + 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T18:00:27.668Z","completedAt":"2026-01-27T18:04:15.918Z","updatedAt":"2026-01-27T18:04:15.918Z","createdAt":"2026-01-27T18:00:27.658Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":61,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4393453,"status":"completed","stage":"completed","downloadedBytes":4393453,"totalRows":39966,"processedRows":39966,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":"Importação concluída: 39.966 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:52.378Z","completedAt":"2026-01-27T18:00:22.591Z","updatedAt":"2026-01-27T18:00:22.591Z","createdAt":"2026-01-27T17:59:52.368Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":60,"filename":"[DETALHE] detalhe_votacao_munzona_2014.zip","fileSize":3937094,"status":"completed","stage":"completed","downloadedBytes":3937094,"totalRows":40704,"processedRows":40704,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2014.zip","totalFileRows":40704,"validationStatus":"pending","validationMessage":"Importação concluída: 40.704 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:27.415Z","completedAt":"2026-01-27T17:59:42.590Z","updatedAt":"2026-01-27T17:59:42.590Z","createdAt":"2026-01-27T17:57:00.388Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":59,"filename":"[PARTIDO] votacao_partido_munzona_2014.zip","fileSize":12141261,"status":"completed","stage":"completed","downloadedBytes":12141261,"totalRows":547738,"processedRows":547738,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:43 PM [express] GET /api/imports/tse/queue/status 304 in 6ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
simulavoto  | 6:04:44 PM [express] GET /api/imports/tse 304 in 15ms :: [{"id":63,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"processing","stage":"processing","downloadedBytes":26127177,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":null,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-27T18:04:15.927Z","completedAt":null,"updatedAt":"2026-01-27T18:04:30.479Z","createdAt":"2026-01-27T18:01:34.908Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":62,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"completed","stage":"completed","downloadedBytes":26127177,"totalRows":533446,"processedRows":533446,"skippedRows":3665,"errorCount":0,"errorMessage":null,"electionYear":2018,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":537111,"validationStatus":"pending","validationMessage":"Importação concluída: 533.446 inseridos, 3.665 duplicados CSV + 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T18:00:27.668Z","completedAt":"2026-01-27T18:04:15.918Z","updatedAt":"2026-01-27T18:04:15.918Z","createdAt":"2026-01-27T18:00:27.658Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":61,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4393453,"status":"completed","stage":"completed","downloadedBytes":4393453,"totalRows":39966,"processedRows":39966,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":"Importação concluída: 39.966 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:52.378Z","completedAt":"2026-01-27T18:00:22.591Z","updatedAt":"2026-01-27T18:00:22.591Z","createdAt":"2026-01-27T17:59:52.368Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":60,"filename":"[DETALHE] detalhe_votacao_munzona_2014.zip","fileSize":3937094,"status":"completed","stage":"completed","downloadedBytes":3937094,"totalRows":40704,"processedRows":40704,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2014.zip","totalFileRows":40704,"validationStatus":"pending","validationMessage":"Importação concluída: 40.704 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:27.415Z","completedAt":"2026-01-27T17:59:42.590Z","updatedAt":"2026-01-27T17:59:42.590Z","createdAt":"2026-01-27T17:57:00.388Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":59,"filename":"[PARTIDO] votacao_partido_munzona_2014.zip","fileSize":12141261,"status":"completed","stage":"completed","downloadedBytes":12141261,"totalRows":547738,"processedRows":547738,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:45 PM [express] GET /api/imports/tse/queue/status 304 in 10ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
simulavoto  | 6:04:46 PM [express] GET /api/imports/tse 304 in 13ms :: [{"id":63,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"processing","stage":"processing","downloadedBytes":26127177,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":null,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-27T18:04:15.927Z","completedAt":null,"updatedAt":"2026-01-27T18:04:30.479Z","createdAt":"2026-01-27T18:01:34.908Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":62,"filename":"[PARTIDO] votacao_partido_munzona_2022.zip","fileSize":26127177,"status":"completed","stage":"completed","downloadedBytes":26127177,"totalRows":533446,"processedRows":533446,"skippedRows":3665,"errorCount":0,"errorMessage":null,"electionYear":2018,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2022.zip","totalFileRows":537111,"validationStatus":"pending","validationMessage":"Importação concluída: 533.446 inseridos, 3.665 duplicados CSV + 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T18:00:27.668Z","completedAt":"2026-01-27T18:04:15.918Z","updatedAt":"2026-01-27T18:04:15.918Z","createdAt":"2026-01-27T18:00:27.658Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":61,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4393453,"status":"completed","stage":"completed","downloadedBytes":4393453,"totalRows":39966,"processedRows":39966,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":"Importação concluída: 39.966 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:52.378Z","completedAt":"2026-01-27T18:00:22.591Z","updatedAt":"2026-01-27T18:00:22.591Z","createdAt":"2026-01-27T17:59:52.368Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":60,"filename":"[DETALHE] detalhe_votacao_munzona_2014.zip","fileSize":3937094,"status":"completed","stage":"completed","downloadedBytes":3937094,"totalRows":40704,"processedRows":40704,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2014.zip","totalFileRows":40704,"validationStatus":"pending","validationMessage":"Importação concluída: 40.704 inseridos, 0 duplicados","validatedAt":null,"startedAt":"2026-01-27T17:59:27.415Z","completedAt":"2026-01-27T17:59:42.590Z","updatedAt":"2026-01-27T17:59:42.590Z","createdAt":"2026-01-27T17:57:00.388Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"},{"id":59,"filename":"[PARTIDO] votacao_partido_munzona_2014.zip","fileSize":12141261,"status":"completed","stage":"completed","downloadedBytes":12141261,"totalRows":547738,"processedRows":547738,"skippedRows":0,"errorCount":0,"errorMessage":null,"electionYear":2014,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_partido_munzona/votacao_partido_munzona_2014.zip","totalFileRows":547738,"validationStatus":"pending","validationMessage":"Importação concluída: 547.738 inseridos, 0 duplicados DB","validatedAt":null,"startedAt":"2026-01-27T17:55:42.693Z","completedAt":"2026-01-27T17:59:27.407Z","updatedAt":"2026-01-27T17:59:27.407Z","createdAt":"2026-01-27T17:55:42.680Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 6:04:48 PM [express] GET /api/imports/tse/queue/status 304 in 8ms :: {"isProcessing":true,"currentJob":63,"queueLength":0,"queue":[{"position":0,"jobId":63,"type":"processing","isProcessing":true}]}
